waypoint_id,x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag,traffic_light_detection,target_traffic_light_camera,start,goal,stop_point,detection_range_front_l,detection_range_front_r,detection_range_rear_l,detection_range_rear_r,fatal_area_left,fatal_area_right,cargo_left,cargo_right,obstacle_detection_distance_change,winker_point,obstacle_sensor_range,mode_change,attention_broadcast,inter_vehicular_distance,minimum_target_point_distance,target_point_ratio,voxel_leaf_size,local_max_slope,preliminary_output,route_change,pause_point,pause_time,cross_point,cross_point_detection_area_left,cross_point_detection_area_right,cross_point_detection_area_front,cross_point_detection_area_back,object_detection_intersect,vehicle_waypoint_distance
26,94625.9219,78080.25,35.8266,-0.2234,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
27,94626.4375,78080.1484,35.8152,-0.2192,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
28,94626.9375,78080.0469,35.8244,-0.2255,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
29,94627.4531,78079.875,35.8069,-0.2211,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
30,94627.9531,78079.7734,35.7986,-0.2236,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
31,94628.4766,78079.6719,35.809,-0.2235,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
32,94628.9609,78079.5469,35.832,-0.2209,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
33,94629.4766,78079.4141,35.8084,-0.2186,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
34,94629.9688,78079.2969,35.7948,-0.2104,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
35,94630.4531,78079.1719,35.8029,-0.2058,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
36,94630.9453,78079.0547,35.825,-0.203,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
37,94631.4531,78078.9219,35.8253,-1.85,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,13,1,0,0,1.75,1.75,0,0,0,0,1,2,0,0,0,0,0,0,1.5
38,94631.9609,78078.7734,35.8091,-0.3577,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
39,94632.4192,78078.4823,35.8292,-0.5658,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
40,94632.7942,78078.1073,35.8135,-0.8355,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
41,94633.05,78077.7194,35.7892,-1.1328,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
42,94633.2422,78077.2578,35.8025,-1.8,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,1,2,10,2,0,0,1.5
43,94633.1345,78076.7111,35.7953,-1.8719,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
44,94632.895,78076.2756,35.7938,-2.1629,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
45,94632.5388,78075.7919,35.7834,-2.4136,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
46,94632.1991,78075.4976,35.7813,-2.5842,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
47,94631.8006,78075.1851,35.8014,-2.662,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,2.5,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
48,94631.3808,78074.9793,35.8123,-2.663,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,2.5,2,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
49,94630.9766,78074.75,35.7741,-2.6013,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,2.5,2,12,1,0,0,1.75,1.75,0,0,0,0,1,2,0,0,0,0,0,0,1.5
50,94630.5078,78074.4766,35.766,-2.5119,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
51,94630.0781,78074.1406,35.7825,-2.4031,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
52,94629.6562,78073.7734,35.7673,-2.2818,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
53,94629.3594,78073.3672,35.7372,-2.1673,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
54,94629.0078,78072.9141,35.7369,-2.0427,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
55,94628.8359,78072.3906,35.7201,-1.9205,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
56,94628.6719,78071.8594,35.699,-1.8051,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
57,94628.5625,78071.3672,35.6924,-1.7436,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
58,94628.4844,78070.7734,35.6748,-1.6862,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
59,94628.3828,78070.2344,35.6731,-1.6593,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
60,94628.3203,78069.7031,35.6702,-1.6571,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
61,94628.2734,78069.1875,35.6613,-1.6622,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
62,94628.1953,78068.6875,35.6678,-1.669,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
63,94628.1328,78068.1875,35.6546,-1.676,5,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
64,94628.0625,78067.6172,35.6426,-1.6845,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
65,94627.9844,78067.0703,35.6285,-1.6845,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
66,94627.9297,78066.5625,35.6227,-1.7023,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
67,94627.8125,78066.0234,35.6255,-1.7567,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
68,94627.6562,78065.4766,35.6044,-1.85,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,1,3,0,0,0,0,0,3,1.5
69,94627.4688,78064.9844,35.5834,-1.9865,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
70,94627.1953,78064.5,35.5612,-2.1272,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
71,94626.875,78064.0625,35.5283,-2.2825,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
72,94626.4844,78063.6953,35.5405,-2.4678,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
73,94626,78063.4141,35.5113,-2.6551,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,1,15,10,4,0,0,1.5
74,94625.5391,78063.2188,35.5346,-2.8132,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
75,94625,78063.0938,35.4649,-2.9655,3,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
76,94624.4609,78063.0156,35.5145,-3.0976,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,2,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
77,94623.9219,78063.0078,35.5698,3.0988,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
78,94623.375,78063.0234,35.4521,3.0367,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
79,94622.8047,78063.1328,35.5522,2.9838,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
80,94622.2734,78063.25,35.5623,2.9551,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
81,94621.7734,78063.3359,35.5554,2.9482,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
82,94621.2656,78063.4531,35.5551,2.9452,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
83,94620.7344,78063.5703,35.5173,2.939,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
84,94620.25,78063.6953,35.5493,2.9377,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
85,94619.7266,78063.7969,35.5348,2.9358,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
86,94619.2266,78063.9219,35.5123,2.9363,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
87,94618.7188,78064.0469,35.5108,2.9374,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
88,94618.2109,78064.1641,35.4919,2.9362,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
89,94617.7031,78064.2734,35.4856,2.9382,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
90,94617.1641,78064.4141,35.5245,2.9359,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
91,94616.6328,78064.5312,35.5189,2.9366,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
92,94616.1016,78064.6719,35.5116,2.9401,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
93,94615.6094,78064.7891,35.5353,2.9385,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
94,94615.125,78064.9219,35.5162,2.9404,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
95,94614.5859,78065.0469,35.5284,2.9408,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
96,94614.0234,78065.1797,35.5566,2.9377,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
97,94613.5,78065.3047,35.5469,2.9379,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
98,94612.9922,78065.4297,35.566,2.9357,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
99,94612.4766,78065.5312,35.5188,2.9364,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
100,94611.9453,78065.625,35.4878,2.9394,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
101,94611.3984,78065.7578,35.5168,2.9389,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
102,94610.8438,78065.9297,35.5521,2.9427,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
103,94610.2578,78066.0703,35.5577,2.9479,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
104,94609.6562,78066.1797,35.5406,2.9463,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
105,94609.1172,78066.3047,35.5295,2.9514,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
106,94608.5781,78066.4219,35.5478,2.9555,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
107,94608.0391,78066.5469,35.5491,2.9548,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
108,94607.5312,78066.6562,35.5302,2.9558,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
109,94607.0391,78066.7734,35.5396,2.9552,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
110,94606.5312,78066.8672,35.5351,2.9548,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
111,94606.0078,78067,35.5466,2.9514,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
112,94605.4609,78067.125,35.5241,2.9472,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
113,94604.9062,78067.25,35.5573,2.9462,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
114,94604.3906,78067.375,35.5678,2.9439,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
115,94603.8281,78067.4844,35.55,2.9423,10,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
