x,y,z,yaw,velocity,change_flag
94619.6953,78081.7969,35.7140,-0.2337,5.1222,0
94620.2266,78081.6797,35.7217,-0.2340,5.3312,0
94620.7812,78081.5234,35.7325,-0.2385,5.5068,0
94621.2734,78081.4062,35.7071,-0.2395,3.8348,0
94621.7734,78081.2734,35.7181,-0.2409,3.7393,0
94622.2812,78081.1562,35.7068,-0.2415,4.4379,0
94622.8438,78081.0078,35.6809,-0.2428,4.3195,0
94623.3359,78080.8828,35.7001,-0.2457,2.6347,0
94623.9219,78080.7188,35.6837,-0.2450,5.2645,0
94624.4688,78080.6016,35.7009,-0.2452,3.4251,0
94624.9609,78080.5000,35.6719,-0.2413,3.9521,0
94625.5312,78080.3594,35.6983,-0.2377,3.6391,0
94626.0938,78080.2266,35.7024,-0.2351,4.2390,0
94626.6016,78080.1250,35.7242,-0.2344,3.1778,0
94627.1484,78079.9844,35.7048,-0.2353,2.7503,0
94627.6328,78079.8594,35.6973,-0.2352,1.5016,0
